Song,Performer,track_id,cluster_grouping,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Baby Be My Love Song,Easton Corbin,6WCqjXvMxAN2yP4dzeoyhF,0,0.488,0.713,0.0,-6.148,1.0,0.0472,0.0569,0.0,0.305,0.483,167.97299999999998,4.0
Animal,Neon Trees,1fBl642IhJOE5U319Gy2Go,133,0.486,0.831,5.0,-5.5,1.0,0.0506,0.000392,0.0,0.363,0.8,148.026,4.0
How Far I'll Go,Auli'i Cravalho,6mb6lVLNrcUgLnEN8QnDJd,2,0.5760000000000001,0.319,4.0,-10.934000000000001,1.0,0.0518,0.603,0.0,0.17300000000000001,0.0921,83.632,4.0
Nasty Girl,Nitty,3SDsWD5DL2acZ1BjRJObm9,3,0.9440000000000001,0.982,2.0,-5.0969999999999995,1.0,0.0463,0.0638,6.709999999999999e-05,0.0257,0.8859999999999999,122.01,4.0
That Other Woman,Changing Faces,7c9OYhqeRkDQsoRYGjDrv2,4,0.677,0.48100000000000004,7.0,-5.6129999999999995,0.0,0.0522,0.15,0.0,0.0747,0.24600000000000002,134.01,4.0
Mo Bamba,Sheck Wes,1xzBco0xcoJEDXktl7Jxrr,151,0.7290000000000001,0.625,4.0,-5.266,1.0,0.0315,0.19399999999999998,0.009859999999999999,0.248,0.261,146.034,4.0
Studio,ScHoolboy Q Featuring BJ The Chicago Kid,29gsi1zZrZxdStACmTQB0Z,6,0.7090000000000001,0.589,8.0,-7.776,0.0,0.0433,0.0507,0.0,0.0585,0.58,133.922,3.0
Congratulations,Post Malone Featuring Quavo,3a1lNhkSLSkpJE4MSHpDu9,90,0.63,0.804,6.0,-4.183,1.0,0.0363,0.215,0.0,0.253,0.49200000000000005,123.146,4.0
Make Em' Say Uhh!,"Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal",28JpsyZlA4ochxwxMMJGWt,8,0.711,0.7290000000000001,6.0,-5.432,0.0,0.49,0.00513,0.0,0.0615,0.488,169.845,4.0
Someone Else Calling You Baby,Luke Bryan,7DkzLcSXS4KhSvbvIJja3M,98,0.498,0.9159999999999999,8.0,-3.728,1.0,0.0662,0.052000000000000005,1.31e-06,0.0734,0.35200000000000004,115.045,4.0
No Scrubs,TLC,1KGi9sZVMeszgZOWivFpxs,10,0.743,0.675,8.0,-4.2669999999999995,0.0,0.0953,0.0251,0.000717,0.0685,0.59,92.90899999999999,4.0
Tal Vez,Ricky Martin,7dfcQMlkSp40GntNwX98Z6,11,0.509,0.601,11.0,-5.365,1.0,0.0323,0.21100000000000002,0.0,0.114,0.191,115.85600000000001,4.0
Whine Up,Kat DeLuna Featuring Elephant Man,7L1zJMkc9Ho7Ox0uSFC9TL,12,0.821,0.5539999999999999,9.0,-5.992999999999999,1.0,0.0542,0.0586,2.81e-06,0.172,0.47200000000000003,125.01100000000001,4.0
You Don't Own Me,Grace Featuring G-Eazy,6KI1ZpZWYAJLvmVhCJz65G,13,0.332,0.635,7.0,-5.653,1.0,0.0898,0.159,2.79e-06,0.0599,0.261,186.24900000000002,3.0
Crazy,Gnarls Barkley,2N5zMZX7YeL1tico8oQxa9,14,0.835,0.741,8.0,-1.609,1.0,0.0339,0.0172,0.0577,0.0826,0.612,111.963,4.0
If I Ain't Got You,Alicia Keys,3XVBdLihbNbxUwZosxcGuJ,159,0.609,0.445,7.0,-9.129,1.0,0.106,0.603,6.77e-06,0.10400000000000001,0.166,118.39299999999999,3.0
Your Body Is A Wonderland,John Mayer,7vFv0yFGMJW3qVXbAd9BK9,16,0.647,0.7290000000000001,5.0,-6.251,1.0,0.0236,0.0206,0.0489,0.134,0.687,94.01,4.0
Higher,Creed,1ZozJfi8u9cO2Ob8KwiwNT,17,0.45899999999999996,0.83,2.0,-6.254,1.0,0.0364,5.15e-05,0.00014,0.20600000000000002,0.431,155.826,4.0
Beat Of The Music,Brett Eldredge,3un2KQUaQ2brEpd8dK93wI,18,0.629,0.8079999999999999,9.0,-4.125,1.0,0.0269,0.00898,9.06e-06,0.0751,0.773,110.001,4.0
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",4YkwUfWSIxdKNLDXw0caFO,19,0.82,0.696,7.0,-4.918,0.0,0.182,0.11900000000000001,0.0,0.231,0.617,144.981,4.0
Open My Heart,Yolanda Adams,61oEF8DLtIL8XwYJRRFotd,20,0.414,0.402,10.0,-8.911,0.0,0.0427,0.7,0.0,0.365,0.171,105.368,4.0
Rise,Katy Perry,1CwNogTShsnsn1C8UhRmYX,21,0.546,0.645,11.0,-6.4,1.0,0.0527,0.0397,0.0,0.107,0.457,101.57799999999999,4.0
"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,5HQVUIKwCEXpe7JIHyY734,22,0.715,0.655,0.0,-6.425,1.0,0.13699999999999998,0.0525,0.0,0.115,0.531,95.07799999999999,4.0
Uber Everywhere,MadeinTYO,7zBPzAjKAqQpcv8F8GCq5s,156,0.779,0.455,1.0,-15.025,1.0,0.28,0.0542,0.0,0.177,0.19699999999999998,140.181,4.0
She Hates Me,Puddle Of Mudd,16DhvbuyvJob4Q9GHNYu2n,24,0.58,0.748,4.0,-5.433,1.0,0.0323,0.00935,0.0,0.753,0.584,109.781,4.0
Lollipop (Candyman),Aqua,5tnqSEWM3EKoEtjSZpmHcH,25,0.72,0.9390000000000001,0.0,-6.357,0.0,0.0279,0.0266,0.0188,0.131,0.794,139.039,4.0
There You Go,P!nk,6LCbPOnvjxSaRnNBKH1JII,26,0.8290000000000001,0.86,10.0,-6.381,0.0,0.0845,0.085,0.0,0.0412,0.669,107.91,4.0
Mr. Mom,Lonestar,0jSIovJtKxEXH6vI4oRx7I,202,0.505,0.8420000000000001,10.0,-3.3160000000000003,1.0,0.0475,0.0576,0.0,0.111,0.6709999999999999,172.136,4.0
